# protools/abhack/attrTabCompletion.txt is a list of ABL attribute and methods to use on TAB in Seb's AppBuilder Hack
# lines that begins with '#' are ignored
# This file is reloaded each time you recheck its corresponding toggle-box





DESELECT-ROWS()             BROWSE
DESELECT-SELECTED-ROW()     BROWSE
DISABLE-AUTO-ZAP            FILL-IN,BROWSE-COLUMN,TEXT
DISABLE-DUMP-TRIGGERS()     BUFFER
DISABLE-LOAD-TRIGGERS()     BUFFER
DISPLAY-MESSAGE()           DEBUGGER
DISPLAY-TYPE                SESSION
DOWN                        FRAME,BROWSE
DRAG-ENABLED                SELECTION-LIST
DROP-TARGET                 FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
DYNAMIC                     FILL-IN,BUFFER,TEMP-TABLE,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU,QUERY
EDIT-CAN-PASTE              FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-CAN-UNDO               FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-CLEAR()                FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-COPY()                 FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-CUT()                  FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-PASTE()                FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-UNDO()                 FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EMPTY-TEMP-TABLE()          BUFFER
END-FILE-DROP()             FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
ENTRY()                     SELECTION-LIST,COMBO-BOX
ERROR                       ERROR-STATUS,COMPILER
EVENT-TYPE                  LAST-EVENT
EXPANDABLE                  BROWSE
EXPORT()                    SESSION
EXTENT                      BUFFER-FIELD
FETCH-SELECTED-ROW()        BROWSE
FGCOLOR                     FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
FILE-CREATE-DATE            FILE-INFO
FILE-CREATE-TIME            FILE-INFO
FILE-MOD-DATE               FILE-INFO
FILE-MOD-TIME               FILE-INFO
FILE-NAME                   PROCEDURE,FILE-INFO,COMPILER,RCODE-INFO
FILE-SIZE                   FILE-INFO
FILE-TYPE                   FILE-INFO
FIND-BY-ROWID()             BUFFER
FIND-CURRENT()              BUFFER
FIND-FIRST()                BUFFER
FIND-LAST()                 BUFFER
FIND-UNIQUE()               BUFFER
FIRST-BUFFER                SESSION
FIRST-CHILD                 FRAME,WINDOW,DIALOG-BOX,MENU,SUB-MENU,SESSION
FIRST-COLUMN                BROWSE
FIRST-PROCEDURE             SESSION
FIRST-SERVER                SESSION
FIRST-SERVER-SOCKET         SESSION
FIRST-SOCKET                SESSION
FIT-LAST-COLUMN             BROWSE
FLAT-BUTTON                 BUTTON
FOCUSED-ROW                 BROWSE
FOCUSED-ROW-SELECTED        BROWSE
FONT                        FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
FORMAT                      FILL-IN,BUFFER-FIELD,BROWSE-COLUMN,COMBO-BOX,TEXT,TOGGLE-BOX
FORWARD-ONLY                QUERY
FRAME                       FILL-IN,FRAME,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
FRAME-COL                   FILL-IN,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
FRAME-NAME                  FILL-IN,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
