DATA-TYPE                   FILL-IN,BUFFER-FIELD,BROWSE-COLUMN,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
DATASET                     BUFFER
DATE-FORMAT                 SESSION
DB-REFERENCES               PROCEDURE,RCODE-INFO
DBNAME                      FILL-IN,BUFFER,BUFFER-FIELD,BROWSE-COLUMN,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
DCOLOR                      FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
DEBLANK                     FILL-IN,TEXT
DEBUG()                     DEBUGGER
DEBUG-ALERT                 SESSION
DECLARE-NAMESPACE()         SAX-WRITER
DEFAULT-BUFFER-HANDLE       TEMP-TABLE
DELETE()                    BROWSE-COLUMN,RADIO-SET,SELECTION-LIST,COMBO-BOX
DELETE-CURRENT-ROW()        BROWSE
DELETE-RESULT-LIST-ENTRY()  BROWSE,QUERY
DELETE-SELECTED-ROW()       BROWSE
DELETE-SELECTED-ROWS()      BROWSE
DELIMITER                   RADIO-SET,SELECTION-LIST,COMBO-BOX
DESELECT-FOCUSED-ROW()      BROWSE
DESELECT-ROWS()             BROWSE
DESELECT-SELECTED-ROW()     BROWSE
DETACH-DATA-SOURCE()        BUFFER
DISABLE-AUTO-ZAP            FILL-IN,BROWSE-COLUMN,TEXT
DISABLE-DUMP-TRIGGERS()     BUFFER
DISABLE-LOAD-TRIGGERS()     BUFFER
DISCONNECT()                SERVER
DISPLAY-MESSAGE()           DEBUGGER
DISPLAY-TIMEZONE            SESSION
DISPLAY-TYPE                SESSION
DOWN                        FRAME,BROWSE
DRAG-ENABLED                SELECTION-LIST
DROP-TARGET                 FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
DUMP-LOGGING-NOW()          QUERY
DYNAMIC                     FILL-IN,BUFFER,TEMP-TABLE,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU,QUERY,DATASET
EDIT-CAN-PASTE              FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-CAN-UNDO               FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-CLEAR()                FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-COPY()                 FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-CUT()                  FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-PASTE()                FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EDIT-UNDO()                 FILL-IN,BROWSE-COLUMN,EDITOR,COMBO-BOX,TEXT
EMPTY-TEMP-TABLE()          BUFFER
ENCODING                    X-DOCUMENT,SAX-WRITER
END-DOCUMENT()              SAX-WRITER
END-ELEMENT()               SAX-WRITER
END-FILE-DROP()             FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
ENTRY()                     BROWSE-COLUMN,SELECTION-LIST,COMBO-BOX
ERROR                       BUFFER,TEMP-TABLE,DATASET,ERROR-STATUS,COMPILER
ERROR-COLUMN                COMPILER
ERROR-ROW                   COMPILER
ERROR-STACK-TRACE           SESSION
ERROR-STRING                BUFFER,TEMP-TABLE
EVENT-TYPE                  LAST-EVENT
EXPANDABLE                  BROWSE
EXPORT()                    SESSION
EXTENT                      BUFFER-FIELD
FETCH-SELECTED-ROW()        BROWSE
FGCOLOR                     FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
FILE-CREATE-DATE            FILE-INFO
FILE-CREATE-TIME            FILE-INFO
FILE-MOD-DATE               FILE-INFO
FILE-MOD-TIME               FILE-INFO
FILE-NAME                   PROCEDURE,FILE-INFO,COMPILER,RCODE-INFO
FILE-OFFSET                 COMPILER
FILE-SIZE                   FILE-INFO
FILE-TYPE                   FILE-INFO
FILL()                      BUFFER,DATASET
FILL-MODE                   BUFFER,DATASET
FILL-WHERE-STRING           DATA-SOURCE
FIND-BY-ROWID()             BUFFER
FIND-CURRENT()              BUFFER
FIND-FIRST()                BUFFER
FIND-LAST()                 BUFFER
FIND-UNIQUE()               BUFFER
