Current NK1,Data Type,Setting Type Name,Data Type,Description,Valid Values,Default Value,Company,Category Tags
MenuLinkZoHo,Integer,MenuLinkZoHoTransparent,Logical,Main Menu Link to ASI ZoHo Transparent Attribute,"YES,NO",YES,No,MainMenu
MenuLinkZoHo,Description,MenuLinkZoHoURL,Character,Main Menu Link to ASI ZoHo URL,https://desk.zoho.com/portal/advantzware/signin,https://desk.zoho.com/portal/advantzware/signin,No,MainMenu
TaskerNotRunning,Logical,TaskerNotRunning,Logical,Tasker Not Running Active,"YES,NO",NO,No,"MainMenu,dAOA"
TaskerNotRunning,Integer,TaskerNotRunningEmailID,Integer,Tasker Not Running Email Configuration ID,,0,No,"MainMenu,dAOA"
TaskerNotRunning,Decimal,TaskerNotRunningTimeLimit,Integer,Tasker Not Running Time Limit,,0,No,"MainMenu,dAOA"
VertexAccessToken,Logical,Vertex,Logical,Vertex Active,"YES,NO",NO,Yes,Vertex
VertexAccessToken,Date,VertexAccessTokenDate,Date,Vertex API Access Token Date,,,Yes,Vertex
VertexAccessToken,Integer,VertexAccessTokenTime,Integer,Vertex API Access Token Time,,,Yes,Vertex
VertexAPIKey,Character,VertexAPIKey,Character,Vertex API Key,,,Yes,Vertex
VertexAPIPassword,Character,VertexAPIPassword,Character,Vertex API Password,,,Yes,Vertex
VertexClientID,Character,VertexClientID,Character,Vertex Client ID,,,Yes,Vertex
VertexClientSecret,Character,VertexClientSecret,Character,Vertex Client Secret,,,Yes,Vertex
VertexFreightTaxClass,Character,VertexFreightTaxClass,Character,Vertex Freight Tax Class,Freight,Freight,Yes,Vertex
VertexTaxClassDefault,Character,VertexTaxClassDefault,Character,Vertex Tax Class Default,,,Yes,Vertex
ZohoClientID,Logical,ZohoCRM,Logical,ZoHo CRM Active,"YES,NO",NO,No,ZoHoCRM
ZohoClientID,Character,ZohoClientID,Character,ZoHo Client ID,1000.JZ0PMBMAND7RPQ1LZP1QQHPG0KWMLZ,1000.JZ0PMBMAND7RPQ1LZP1QQHPG0KWMLZ,No,ZoHoCRM
ZohoClientSecret,Character,ZohoClientSecret,Character,ZoHo Client Secret,a54de56bc72f068a546b25c539f5f0b01858a4ac8b,a54de56bc72f068a546b25c539f5f0b01858a4ac8b,No,ZoHoCRM
ZohoRefreshToken,Character,ZohoRefreshToken,Character,ZoHo Refresh Token,1000.9d3c98f80d53e7b27dcef14b80bb3e20.f08610cd5b76f5b3a4ade67f17a6c956,1000.9d3c98f80d53e7b27dcef14b80bb3e20.f08610cd5b76f5b3a4ade67f17a6c956,No,ZoHoCRM
Notepad,Logical,Notepad,Logical,Notepad instead of Standard Screen Output? Active,"YES,NO",NO,Yes,Notepad
Notepad,Character,NotepadValue,Character,Notepad instead of Standard Screen Output? Value,",Notepad",,Yes,Notepad
