
SchedulerPro (v2.008) - Printing Report 1 [printing.p]

Resource: 407        PLANETA 6 COLOR
========================================

Job ID               Form Blank
-------------------- ---- -----
1370-0.1               1     
1384-0.1               1     
1663-0.1               1     
1663-0.3               3     
















1383-0.1               1    3
1706-0.2               2    1
1498-0.3               3    1
1351-0.1               1    3
1013-0.1               1    1
1706-0.3               3    1
1511-0.1               1    1
1476-0.1               1    1
1521-0.1               1    1
1521-0.1               1    2
1521-0.1               1    3
1438-0.2               2    1
1438-0.2               2    2
1502-0.1               1    1
1409-0.2               2    1
1351-0.2               2    1
1412-0.2               2    1
1412-0.1               1    1
1502-0.2               2    1
1502-0.3               3    1
1511-0.2               2    1
1463-0.1               1    1
1463-0.1               1    2
1463-0.1               1    3
1291-0.3               3    1
1463-0.1               1    4
1463-0.1               1    5
1463-0.1               1    6
1463-0.1               1    7
S1735-0.1              1    1
1236-0.3               3    1
1225-0.3               3    1
1226-0.3               3    1
1224-0.4               4    1
1291-0.4               4    1
1223-0.4               4    1
1226-0.4               4    1
1236-0.4               4    1
1225-0.4               4    1
1369-0.1               1    1
1369-0.1               1    2
1364-0.3               3    1
1409-0.2               2    2
1369-0.1               1    3
1450-0.1               1    1
1351-0.4               4    1
1351-0.3               3    1
1291-0.5               5    1
1351-0.2               2    2

Page: 7        11.05.2013 @ 12:57:40am

SchedulerPro (v2.008) - Printing Report 1 [printing.p]

Resource: DOMINO     BOBST DOMINO GLUER
========================================




























































Page: 8        11.05.2013 @ 12:57:40am

SchedulerPro (v2.008) - Printing Report 1 [printing.p]

Resource: FLTBE2     Flatbed D/C
========================================

Job ID               Form Blank
-------------------- ---- -----
S570-0.1               1     
1282-0.1               1     
S1735-0.1              1     






















































Page: 9        11.05.2013 @ 12:57:40am

SchedulerPro (v2.008) - Printing Report 1 [printing.p]

Resource: SHT1       NEW SHEETER
========================================

Job ID               Form Blank
-------------------- ---- -----
1382-0.1               1     
1381-0.1               1     
1439-0.1               1     
1369-0.1               1     
1663-0.1               1     
1511-0.1               1     
1381-0.2               2     
1383-0.1               1     
1351-0.1               1     
1511-0.2               2     
1502-0.1               1     
1013-0.1               1     
1463-0.1               1     
1521-0.1               1     
1663-0.3               3     
1502-0.2               2     
1502-0.3               3     








































Page: 10       11.05.2013 @ 12:57:40am

SchedulerPro (v2.008) - Printing Report 1 [printing.p]

Resource: STRIP      STRIPPING
========================================

Job ID               Form Blank
-------------------- ---- -----
1343-0.2               2     
1346-0.2               2     
