ID,Name
MBS-1029b4ba-07d0-4f38-8c22-c74f27fe4896/CBB_DELTA-ASI,Delta
MBS-40d9e47a-4381-4474-b95a-54f97ce71f80/CBB_Pacific Quality Packaging,PacificQuality
MBS-5b6ab560-cdbb-4c0f-9ae7-68ee202cf7be/CBB_LovePac,LovePac
MBS-8e24c2af-9540-4501-add7-717b6d14549e/CBB_Shamrock,Shamrock
MBS-b65b9f28-c0cc-4694-9b79-4d4577ac8ecc/CBB_Intercontinental-Packaging,Intercontinental
MBS-da8d2e72-a2a1-45ef-a769-4debd9e4c5dd/CBB_ADVANTZWARE-Valley-Containers-CT,ValleyCT
MBS-f3baec34-8fa4-427b-8f7d-6daef1adf33a/CBB_Lanco-York,LancoYork
